cps_pcode,country_iso_alpha_3_code,country_name,admin_level,admin_level_name,place_name,pcode
COL-20295,COL,Colombia,2,Municipality,Gamarra,20295
COL-20310,COL,Colombia,2,Municipality,González,20310
COL-20383,COL,Colombia,2,Municipality,La Gloria,20383
COL-20400,COL,Colombia,2,Municipality,La Jagua de Ibirico,20400
COL-20443,COL,Colombia,2,Municipality,Manaure,20443
COL-20517,COL,Colombia,2,Municipality,Pailitas,20517
COL-20550,COL,Colombia,2,Municipality,Pelaya,20550
COL-20570,COL,Colombia,2,Municipality,Pueblo Bello,20570
COL-20614,COL,Colombia,2,Municipality,Río de Oro,20614
COL-20621,COL,Colombia,2,Municipality,La Paz,20621
COL-20710,COL,Colombia,2,Municipality,San Alberto,20710
COL-20750,COL,Colombia,2,Municipality,San Diego,20750
COL-20770,COL,Colombia,2,Municipality,San Martín,20770
COL-20787,COL,Colombia,2,Municipality,Tamalameque,20787
COL-23001,COL,Colombia,2,Municipality,Montería,23001
COL-23068,COL,Colombia,2,Municipality,Ayapel,23068
COL-23079,COL,Colombia,2,Municipality,Buenavista,23079
