"value","indID","period","region","dsID","source","is_number"
9200,"COL.B.POP.0001","1998-01-01","COL-1008","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
22181,"COL.B.POP.0001","1998-01-01","COL-869","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2847,"COL.B.POP.0001","1997-01-01","COL-846","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
9753,"COL.B.POP.0002","1997-01-01","COL-1128","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3677,"COL.B.POP.0002","1997-01-01","COL-1059","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
15788,"COL.B.POP.0001","1998-01-01","COL-2066","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10801,"COL.B.POP.0001","1998-01-01","COL-1277","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5079,"COL.B.POP.0001","1999-01-01","COL-1386","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8955,"COL.B.POP.0001","1999-01-01","COL-1217","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4435,"COL.B.POP.0001","1998-01-01","COL-1062","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
0,"COL.B.POP.0001","1997-01-01","COL-2127","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11090,"COL.B.POP.0001","1997-01-01","COL-1920","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2746,"COL.B.POP.0001","1999-01-01","COL-1065","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5742,"COL.B.POP.0002","1997-01-01","COL-1095","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
13083,"COL.B.POP.0002","1997-01-01","COL-1995","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5012,"COL.B.POP.0001","1997-01-01","COL-923","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
12659,"COL.B.POP.0002","1997-01-01","COL-1106","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7.41,"COL.B.UNK.0086","2007-10-28","COL-9","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2685,"COL.B.POP.0001","1999-01-01","COL-1609","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4172,"COL.B.POP.0002","1997-01-01","COL-2107","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
21862,"COL.B.POP.0001","1997-01-01","COL-933","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6751,"COL.B.POP.0002","1997-01-01","COL-918","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1248,"COL.B.POP.0001","1999-01-01","COL-1638","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10995,"COL.B.POP.0001","1998-01-01","COL-938","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1172661,"COL.B.POP.0001","1997-01-01","COL-931","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3991,"COL.B.POP.0002","1997-01-01","COL-1097","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1699,"COL.B.POP.0002","1997-01-01","COL-2118","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
10054,"COL.B.POP.0001","1998-01-01","COL-954","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8249,"COL.B.POP.0001","1998-01-01","COL-1139","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
0,"COL.B.UNK.0086","2007-10-28","COL-6","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1031,"COL.B.POP.0001","1998-01-01","COL-1728","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3369,"COL.B.POP.0001","1997-01-01","COL-1210","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4755,"COL.B.POP.0002","1997-01-01","COL-1892","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
9768,"COL.B.POP.0002","1997-01-01","COL-1886","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1130,"COL.B.POP.0001","1997-01-01","COL-850","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2562,"COL.B.POP.0001","1998-01-01","COL-1647","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4757,"COL.B.POP.0001","1999-01-01","COL-1596","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
608,"COL.B.POP.0001","1999-01-01","COL-2061","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6524,"COL.B.POP.0001","1998-01-01","COL-1170","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5389,"COL.B.POP.0001","1998-01-01","COL-989","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7492,"COL.B.POP.0001","1999-01-01","COL-937","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4638,"COL.B.POP.0001","1998-01-01","COL-1596","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5474,"COL.B.POP.0002","1997-01-01","COL-1094","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
19182,"COL.B.POP.0002","1997-01-01","COL-1996","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
23275,"COL.B.POP.0002","1997-01-01","COL-1174","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11065,"COL.B.POP.0002","1997-01-01","COL-1088","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2465,"COL.B.POP.0001","1999-01-01","COL-1640","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
19194,"COL.B.POP.0001","1997-01-01","COL-851","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
5191,"COL.B.POP.0001","1998-01-01","COL-1649","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1771,"COL.B.POP.0001","1999-01-01","COL-1791","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3203,"COL.B.POP.0002","1997-01-01","COL-1103","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6106,"COL.B.POP.0002","1997-01-01","COL-1969","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3346,"COL.B.POP.0002","1997-01-01","COL-1883","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
12044,"COL.B.POP.0001","1998-01-01","COL-1195","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
19232,"COL.B.POP.0002","1997-01-01","COL-1990","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3309,"COL.B.POP.0001","1999-01-01","COL-2002","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
8538,"COL.B.POP.0001","1999-01-01","COL-1988","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4444,"COL.B.POP.0001","1998-01-01","COL-881","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3204,"COL.B.POP.0002","1997-01-01","COL-1893","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1751,"COL.B.POP.0001","1999-01-01","COL-1054","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2590,"COL.B.POP.0001","1998-01-01","COL-994","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2428,"COL.B.POP.0002","1997-01-01","COL-1130","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
6827,"COL.B.POP.0001","1997-01-01","COL-897","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2695,"COL.B.POP.0002","1997-01-01","COL-1089","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
